"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"García Ureta A.","García Ureta, Agustín (6505842265)","6505842265","Private property, compensation for damage to economic activities and Natura 2000. Commentary to Case C-238/20, Satini-S Sia, CJEU (Third Chamber) of January 27, 2022; [“PROPIEDAD PRIVADA, COMPENSACIÓN POR DAÑOS A ACTIVIDADES ECONÓMICAS Y NATURA 2000. COMENTARIO AL ASUNTO C-238/20, SĀTIŅI-S SIA, STJUE (SALA TERCERA) DE 27 DE ENERO DE 2022”]","2022","Actualidad Juridica Ambiental","2022","121","","54","67","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185686363&partnerID=40&md5=1e1a93304baab519892f19243e3ff7fb","[No abstract available]","","","Note","Final","","Scopus","2-s2.0-85185686363"
"Kay C.","Kay, Cristóbal (7202827070)","7202827070","Synergistic development strategy, a challenge for Latin America; [Estrategia de desarrollo sinérgico, un desafío para América Latina]","2023","Trimestre Economico","90","359","","867","901","34","0","10.20430/ete.v90i359.1946","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165298673&doi=10.20430%2fete.v90i359.1946&partnerID=40&md5=d90d56918e1e0c9725d3e60e25871903","This article undertakes a comparative analysis by contrasting the national development strategies followed by most countries in Latin America with those of South Korea and Taiwan during the Cold War period. It seeks to find out why these two South-East Asian countries, though starting at a much lower level of development than most Latin American countries at the beginning of the Cold War, were able to achieve much higher and equitable standards of living at the end of it. Its argument is that the remarkable difference in the performance between both regions is mainly explained by the ability of these Asian countries to pursue a synergetic development strategy, whereas the Latin American countries failed to do so. The extent, scope, and timing of a redistributive land reform were key ingredients of such a strategy, as well as the linkages established between the economic sectors. It is concluded that a synergistic development strategy offers the best chances of promoting a more dynamic, sustainable, and equitable development process for Latin America. © 2023 Fondo de Cultura Economica. All rights reserved.","Asia; comparative studies; intersectoral linkages; land reform; Latin America; Synergic development strategy","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85165298673"
"Bedoya-Garland E.; Aramburú C.E.; de Romaña A.L.","Bedoya-Garland, Eduardo (57217023132); Aramburú, Carlos Eduardo (57191101734); de Romaña, Anel López (58622061500)","57217023132; 57191101734; 58622061500","The Production of New Natures in the Peruvian Upper Amazon (1940-1981) and Ester Boserup's Theses; [La producción de nuevas naturalezas en la alta Amazonía peruana (1940-1981) y las tesis de Ester Boserup]","2023","Revista Kawsaypacha: Sociedad y Medio Ambiente","2023","12","A-008","","","","0","10.18800/kawsaypacha.202302.A008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172475459&doi=10.18800%2fkawsaypacha.202302.A008&partnerID=40&md5=1921e326557df30b4b2cfb50ae770228","The purpose of this work is to describe the historical, population, economic, and environmental conditions that led to the expansion of the agricultural and demographic frontier in the Peruvian high jungle, particularly in the Alto Huallaga basin, during the decades spanning from 1940 to the early 1980s. The text describes and analyzes how the dynamics of demographic frontier expansion, through highland-origin settler farmers, exerted intense pressure on natural resources, subsequent environmental degradation, and eventually regional demographic saturation. The migrant settlers continually reproduced their family units of production and consumption in frontier territories, thereby creating new natures and destroying others in the process. In this context, we aim to explore the links between demographic growth in the Alto Huallaga and the slash-and-burn agricultural systems that accompanied them, as well as the socio-environmental consequences and the ongoing feedback dynamics between these processes. In doing so, we put to the test the model of land use extensification and intensification proposed by economist Ester Boserup. © 2023, Pontificia Universidad Catolica del Peru. All rights reserved.","Deforestation; Environmental history; Peru; Perú; Tropical colonizations; Upper Amazon","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85172475459"
"Chebini N.; Kebir B.; Zeghiche A.","Chebini, Nadia (58757940800); Kebir, Bahia (56623188700); Zeghiche, Anissa (7801341038)","58757940800; 56623188700; 7801341038","Productions, actors, and strategies of private real estate development in the renewal of pericentral space of Annaba (Eastern Algeria). Decryption attempt; [Productions, acteurs, et stratégies de la promotion immobilière privée dans le renouvellement des espaces péricentraux à Annaba (Est Algérien). Essai de décryptage]","2023","Geocarrefour","97","3","","1","27","26","0","10.4000/GEOCARREFOUR.22306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179400312&doi=10.4000%2fGEOCARREFOUR.22306&partnerID=40&md5=81b5ef65929c9fa7ffd7a9641fb4f098","In Annaba, the pericentral areas have been undergoing a renewal of the old buildings for nearly two decades through the construction of new private real estate developments intended for new social categories more affluent who are relocating to the neighborhoods near the city center. This renewal, mainly produced by the initiative of private actors and driven by supply and demand mechanisms, jointly leads to urban, architectural and social transformations suggesting the emergence of a gentrification process in Annaba. The aim of this article is to identify the different types of actors involved in this renewal, the spatial and architectural configurations produced, the socio-economic profile of the households occupying the new buildings as well as the motivations for their residential choice. This article also aims to decrypt the strategies linking the different actors to better understand the mechanisms of the production of new housing by private estate developers in these pericentral areas. © The Author(s) 2023.","Annaba; gentrification; housing production; pericenter; private actors; private real estate development; strategies; urban renewal","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85179400312"
"Calmet G.S.F.","Calmet, Gustavo Suárez de Freitas (58619858100)","58619858100","Forest management and policy in Peru; [Gestión y política de los bosques en el Perú]","2023","Revista Kawsaypacha: Sociedad y Medio Ambiente","2023","12","A-001","","","","0","10.18800/kawsaypacha.202302.A001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172375126&doi=10.18800%2fkawsaypacha.202302.A001&partnerID=40&md5=4ef2ebd1ce62c36c1deab11d86044b59","A review of the situation of forest management in Peru is carried out, particularly in the Amazon region, using the United Nations' definition of sustainable forest management as a reference. This definition is based on: (i) the extent of forest resources; (ii) forest biological diversity; (iii) the health and vitality of forests; (iv) productive functions; (v) protective functions; (vi) socio-economic functions; and (vii) the regulatory, institutional, and policy framework. Based on the review of available information on these aspects, the current situation of deforestation is illustrated, which reduces forest coverage and diminishes the provision of ecosystem services. Risks of unsustainability in the utilization of certain resources, such as species listed in the CITES Convention, are identified. Inappropriate situations regarding limited access to resources for certain stakeholders are highlighted, as well as delays in the implementation of certain instruments that would help solve key issues for rural producers, such as land-use agreements (leasing) for agroforestry systems. A review of the legal framework and governance structure developed is conducted, which presents distinctive positive features such as the equal representation of indigenous peoples, the state, and the non-public sector in the Board of Directors, and the existence of significant participation spaces like the Forest and Wildlife Management Committees (CGFFS), which have not been established. The discussion briefly addresses whether the identified current limitations are a result of a legal and organizational design issue or rather a management problem, in order to guide necessary interventions for improving management outcomes. © 2023, Pontificia Universidad Catolica del Peru. All rights reserved.","Agroforestry lease contracts; Forest ecosystem services; Forest governance; Local forests; Sustainable Forest management","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85172375126"
"Moschella P.","Moschella, Paola (57222636420)","57222636420","Loss of Amazonian forests due to urban expansion in Peru; [Pérdida de bosques amazónicos por expansión urbana en el Perú]","2023","Revista Kawsaypacha: Sociedad y Medio Ambiente","2023","12","A-007","","","","0","10.18800/kawsaypacha.202302.A007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172406307&doi=10.18800%2fkawsaypacha.202302.A007&partnerID=40&md5=7b5faca6daadbd185ecef664674b1210","The occupation of peri-urban areas in the eight largest Amazonian cities is studied, along with its impact on forest conservation, in order to identify conditions associated with greater or lesser loss of peri-urban forests. For this purpose, a comparative analysis of demographic and spatial indicators is conducted, as well as a spatial analysis of recent urban growth over forested areas. Furthermore, challenges for the conservation of peri-urban forests are discussed based on key territorial dynamics and existing mechanisms for territorial planning and management. It is identified that the greater pressure from urban growth on peri-urban forests is mainly linked to migratory processes and regional economic dynamics related to mining and tourism activities. Likewise, the trend towards reduced population and housing density in new expansion areas, along with an increase in the real estate supply for secondary residences, poses a threat to sustainability. Peri-urban roads concentrate deforestation areas and future urban expansion, highlighting the need to enhance mechanisms for environmental impact assessment of road infrastructure and focus efforts on sustainable land management measures in these zones. © 2023, Pontificia Universidad Catolica del Peru. All rights reserved.","Amazon; Cities; Deforestation; Peru; Urban growth","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85172406307"
"Gracia A.; Sánchez A.M.; Mallor C.","Gracia, Azucena (35264340400); Sánchez, Ana María (57189332978); Mallor, Cristina (57202376388)","35264340400; 57189332978; 57202376388","Consumer acceptance of the traditional variety ‘Muniesa’ bean for the recovery of its cultivation on a commercial scale; [Aceptación del consumidor de la variedad tradicional Judía Blanca de Muniesa para la recuperación de su cultivo a escala comercial]","2023","ITEA Informacion Tecnica Economica Agraria","119","2","","172","189","17","0","10.12706/itea.2023.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163315006&doi=10.12706%2fitea.2023.001&partnerID=40&md5=588a0d3b316564c3cbe50c4dde3b264e","Traditional varieties are linked to geographical origin and territory, bestowing upon them some intrinsic characteristics, generally highly appreciated by local consumers. Therefore, the cultivation of these va-rieties can be an alternative to other varieties and contribute to mitigate the abandonment of rural areas and to improve its economic and territorial sustainability. This study is focused on a traditional variety from a marginal rural area of the province of Teruel (Aragon) that was no longer cultivated for commercial purposes. The objective is to find out the viability to reinstate in the market this traditional landrace bean through an analysis of its acceptance by consumers. Specifically, the intention of consumers to buy different types of dry beans (‘Muniesa’ beans, among others) is analysed, considering their external appearance and associated information (place of production and representative characteris-tics), as well as the type of package. To do that, a qualitative study was carried out using a focus group conducted with three dry beans consumers groups in two geographical areas close to the production area. Results indicated that the ‘Muniesa’ traditional white bean will be accepted by a segment of consumers who usually consume dry beans because of their intrinsic characteristics (size, colour or shape) and their place of production and, in particular, because it is a traditional crop with specific agrono-mic characteristics that it is produced in non-irrigated land with little water requirements. © 2023, Asociacion Interprofesional para el Desarrollo Agrario. All rights reserved.","Aragón; focus group; intention to purchase; local; packaging; Teruel","","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85163315006"
"García A.N.","García, Albert Navarro (58062469600)","58062469600","ECONOMIC BENEFITS RELATED TO THE COLLECTION OF MUNICIPAL WASTE; [LAS PRESTACIONES ECONÓMICAS SOBRE LA RECOGIDA DE RESIDUOS MUNICIPALES]","2022","Revista Catalana de Dret Ambiental","13","2","","","","","0","10.17345/rcda3398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146161710&doi=10.17345%2frcda3398&partnerID=40&md5=df01c37d4b9315d5dcf64d09a189078d","This study analyses some of the tax measures introduced by recent Law 7/2022 of 8 April on waste and contaminated land for a circular economy, which aims to establish the principles of the circular economy through basic legislation on waste, as well as to contribute to the fight against climate change. To ensure this objective, the law not only introduces a penalty system, but also a series of fiscal instruments to encourage the circular economy. These include establishing a special tax on non-reusable plastic packaging and introducing a tax on the depositing of waste in landfills, and on the incineration and co-incineration of waste. The central aim of this paper is to indicate that local authorities should create a tax or, where appropriate, a non-tax public payment aimed at covering the costs related to the management of municipal waste, in accordance with the ‘polluter pays’ principle. For this purpose, we analyse the current configuration of municipal waste collection charges and look at how non-tax public payments are characterised, as well as their legal history, in order to determine their appropriateness and suitability with regard to the legal nature of the economic benefits derived from the municipal waste collection service. © Revista Catalana de Dret Ambiental. All rights reserved.","Charges; Circular economy; Economic benefits; Local financing; Pay-as-you-throw schemes; Waste management","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85146161710"
"Molina J.C.T.; Canales G.","Molina, Juan Carlos Trigueros (57205028587); Canales, Gregorio (58144136200)","57205028587; 58144136200","Gubernability, water management and historical evolution: The hereding of the andelma ditch (1543-1800); [Gubernabilidad, gestiones hídricas y evolución histórica: el heredamiento de la acequia andelma (1543-1800)]","2020","Revista de Estudios Regionales","","119","","201","221","20","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150162849&partnerID=40&md5=84bea9f9f70081343e9f343b8c6cf799","Three reasons lead us to carry out the following study on the Acequia de la Andelma de Cieza (Murcia, Spain), located on the left bank of the River Segura and dating from the 10th century: The importance it has in the formation of the cultural landscape of the area; the lack of information presented in it during the Modern Age and previous stages: and, and for its economic and food contribution to the population. The methodology that has been followed to build the article is as follows: first, the bibliography about the area have been revised; second, it has begun for almost two years a comprehensive, careful and systematic search on historical documentary sources. Forty documents have been found: thirty of the Notarial Protocols (Provincial Historical Archive of Murcia) and the rest of the Chapter Acts of the Cieza Town Hall during the period of the Modern Age; the data have been organized in a classification according to the centuries; afterwards, the evaluation and analysis of each sample has been carried out, reviewing them in a critical way and comparing them; and, finally, the construction of the study and the bibliographical search have been carried out at the same time, with the aim of enriching and contrasting the work. The results are as follows: 1) Types of government administration. 1.1) The first is centred on a period of the 16th and 17th centuries, when the irrigation community granted the directional authority of the whole canalisation system to individuals from outside the entity. These individuals had a similar profile: they belonged to the local elite of Cieza. The profitability of this contract was extracted in the zero confrontation between the farmers, since they all started with the same rules, limitations and fine. Therefore, it guaranteed the survival and collective welfare. The disadvantage was based on the capacity to act and the initiatives (regulations, restoration of all irrigation system) with the subject that had agreed the commitment. 1.2) The interference of the council at the end of the 17th century until 1800. The powers were shared between the two institution. The council initially acted to solve the internal problems of the irrigation community. An example is the appointment of acquirers. These also had three stages: Elected by the community’s representative (1543-1663), by the irrigation community itself (1676-1743) and by the municipal council (1744-1800). The council also acted as a financial support body. 2) Types of irrigation distribution: one is by type of plantation depending on its harvesting characteristics (1543); another is irrigation organised by site, from the head of the ditch to the tail of the ditch, which was certainly a common practice at the time (1610); and finally, the free flow due to the high amount of water that the ditch carried. This last model was experimented with thanks to the new installation of the weir in the middle of the 18th century. 3) The canalisation system didn´t cover the entire irrigation basin. Its extension upstream in the 18th century is close to the theories of the archaeologist Miquel Barcelo. The traditional canalisation systems of an Islamic nature (azud, acequia) have been conceived and designed by such a civilisation in the Mediterranean area from the beginning for their eventual propagation and growth, especially in its upper zone. 4) The irrigation community itself obtained economic gains through the annual rate of the farmers and through the leases on its farms, by converting them into land for livestock grazing. It offers a functional strategy of double capital extraction. It should be added the power to invest in structures with social purposes and services, such as the construction of wooden boats to facilitate the passage of landowners from one side of the Segura to the other. Conclusions: The study has been satisfactorily evaluated. First class information has been extracted about the Andelma Irrigation Community. This is an irrigation entity which underwent different processes of change and adaptation during the Modern Age both in its administrative policy, irrigation distribution and its own hydraulic system. An individual example of evolution, of adaptation of the South East of Spain that has shaped a unique type of agricultural landscape. © 2020 Asociacion Universidades Publicas de Andalucia. All rights reserved.","Agricultural history; Types of water distribution; Water governments","","Article","Final","","Scopus","2-s2.0-85150162849"
"Rodríguez N.E.L.","Rodríguez, Nicolás Esteban Lara (58484763200)","58484763200","Deforestation, inequality and peace: A quantitative analysis in post-conflict Colombia (2015-2019); [Deforestación y desigualdad de la tierra: un análisis econométrico en el posconflicto colombiano (2015-2019)]","2023","Cuadernos de Economia (Colombia)","42","89","","203","232","29","0","10.15446/cuad.econ.v42n89.94607","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164559429&doi=10.15446%2fcuad.econ.v42n89.94607&partnerID=40&md5=37a5b068a0b153cf139d29e609d1ce29","Between 1990 and 2020, 178 million hectares were deforested worldwide. The causes of this phenomenon have been widely discussed; however, few studies have considered the links between unequal access to land and deforestation. This article attempts to contribute to this debate using an econometric model that associates socio-economic information with satellite images of tree cover in Colombia following the end of the conflict between the Colombian government and the FARC-EP. The results show that population growth and livestock expansion have an impact on the rate of deforestation, although the intensity of the effect depends on the level of inequality of rural property. © 2023, Cuadernos de Economia (Colombia). All Rights Reserved.","conflict; deforestation; land ownership; Land use change; land use regulation","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164559429"
"Fernandez J.R.; Caralt J.S.; Valcarce E.V.","Fernandez, Javier Romaní (7006641652); Caralt, Jordi Surińach (6503899867); Valcarce, Esther Vayá (6507576637)","7006641652; 6503899867; 6507576637","Economic effects associated to airport cities. The case of the Josep Tarradellas Airport - Barcelona - El Prat; [Efectos económicos asociados a las ciudades aeroportuárias. El caso del aeropuerto Josep Tarradellas — Barcelona — El Prat]","2023","Investigaciones Regionales","2023","56","","51","68","17","1","10.38191/iirr-jorr.23.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169813751&doi=10.38191%2fiirr-jorr.23.010&partnerID=40&md5=30c1bf77f5f61e473c68447d545e25eb","Airports have become one of the main factors of urban competitiveness, due to their role as communication nodes and also due to their ability to generate economic activity. The literature shows that, in many metropolitan areas, airports are an important pole of economic activity that attracts companies related to airport activity, but also other types of firms due to their accessibility and the lower price of land compared to the city center. This article describes the plan for the creation of an Airport City at Barcelona Airport and estimates the economic effect that its implementation would have on the Catalan and Spanish economy. © 2023, Asociacion Espanola de Ciencia Regional. All rights reserved.","airport; Airport city; economic impact","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85169813751"
"Díez-Echavarría L.F.; Ríos-Echeverri D.C.; Hoyosestrada C.H.; Benjumea-Arias J.F.","Díez-Echavarría, Luisa Fernanda (56495602600); Ríos-Echeverri, Diana Carolina (55250034200); Hoyosestrada, Claudia Helena (58246573500); Benjumea-Arias, Jhon Freddy (58247004300)","56495602600; 55250034200; 58246573500; 58247004300","Cluster analysis of landowners that provide environmental services to implement an urban payment scheme; [Análise de agrupamento de propriedades que fornecem serviços ambientais para implementar um esquema de pagamento urbano]; [Análisis de clúster de predios proveedores de servicios ambientales para implementar un esquema de pagos urbano]","2023","Desenvolvimento e Meio Ambiente","61","","","183","198","15","0","10.5380/dma.v61i0.79253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159162715&doi=10.5380%2fdma.v61i0.79253&partnerID=40&md5=30e837eb6bd83b524287623f7996d96d","Payments for Environmental Services (PES) are voluntary schemes designed to provide incentives for providing environmental services (ES) on lands with the potential to develop productive activities. The PES have been implemented, for the most part, in rural contexts, and their extension to urban contexts requires adjustments in the design of the traditional scheme. On that need, there are not enough advances reported in the literature. To design a PES in urban areas (PSAU), we pretend to understand the heterogeneity that characterizes the landholders and their properties, where the ecosystem provider of the ES is located. This article presents a grouping exercise of 111 selected properties to be part of a PSAU in Colombia, in order to identify similar characteristics between the groups, which facilitate the design of payment strategies. The grouping was done considering specific variables of the urban context and with the k-prototypes cluster analysis algorithm, resulting in the division of the properties into three groups. We found that two of the three groups have more differentiating characteristics: the first is mostly private, with smaller and more expensive total areas; while the other is mainly public, with a larger total area and at a lower cost. We concluded that the payment to be recognized for the first group should be very attractive if you want to have a good adoption, since the opportunity cost represented by the availability and value of the land is higher. The other group could be the one that adopts more easily because it has a larger area and a lower economic value, because of in this group the properties are mainly public domain, social appropriation actions with the community are fundamental. The clustering method turned out to be an adequate process to address the heterogeneity present in the urban context. © 2023 Universidade Federal do Parana. All rights reserved.","cluster analysis; grouping; k-prototype algorithm; payments for environmental services; urban area","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85159162715"
"Castañeda R.; Gutiérrez H.; Aponte H.; Ocampo I.Z.; Bussmann R.W.; Paniagua-Zambrana N.Y.","Castañeda, Roxana (57190738224); Gutiérrez, Harol (57190739675); Aponte, Héctor (57200211996); Ocampo, Ivette Z. (57191364673); Bussmann, Rainer W. (6603001909); Paniagua-Zambrana, Narel Y. (40761994400)","57190738224; 57190739675; 57200211996; 57191364673; 6603001909; 40761994400","Comparativo-the trade of wild medicinal plants in the andean district of lircay, huancavelica, perú: A comparative study; [El comercio de plantas medicinales silvestres en el distrito andino de lircay, huancavelica, perú: Un estudio]","2021","Ethnobotany Research and Applications","21","","22","","","","9","10.32859/era.21.22.1-32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104183189&doi=10.32859%2fera.21.22.1-32&partnerID=40&md5=86ffcf23dd3dd90eb8eeefde0bedff63","Introduction: Plants sold in public markets are important for the use and economic benefit they generate. This study documents the trade of wild medicinal plants in the district of Lircay, in the southern region of Peru. Additionally, the composition of the wild medicinal species registered in the study is compared with the richness of wild species reported in three markets in the region. Methods: The methodology was based on interviews with 70 vendors between 2015 and 2018. To compare the richness of species between markets, the data was conditioned in a matrix of presence and absence with which the Jaccard similarity index was calculated. Results and Discussion: Seventy-two wild medicinal plants were commercialized for 14 subcategories of medicinal use. The most frequently sold species were Clinopodium brevicalyx, Peperomia galioides and Minthostachys andina. It was also observed that the trade may be influencing the conservation status of Haplorhus peruviana and Ephedra rupestris, both taxa categorized as Critically Endangered according to Peruvian legislation. The problem of species replacement between Equisetum bogotense, Ephedra rupestris and Baccharis genistelloides, which are marketed under the name of ""horsetail"", is reported. Similarly, Perezia pinnatifida is sold under the common name of ""valeriana"" and is attributed the properties for the genus Valeriana. Those last observations suggest that an adequate taxonomic identification of the plants sold in public markets is necessary, specially, because of the antagonistic effects that could have different active ingredient of those species. Finally, when comparing the plants sold in Lircay with three other Andean markets (Ancash, Ayacucho and Huancavelica), a low similarity was found, which suggests a high variability of the commercialized plants and the need of more studies to know the total amount of species used for medicinal purposes in this region. Conclusions: The similarity of wild medicinal plants between the Andean markets of Cajamarca, Ancash, Ayacucho and Huancavelica is low. © 2021, Ilia State University, Institute of Botany, Department of Ethnobotany. All rights reserved.","Andes; Huancavelica; Medicinal plants; Similarity; Trade; Traditional knowledge","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85104183189"
"Malmod A.","Malmod, Alicia (59188764800)","59188764800","Rural Land and its Pontential for Real Estate Development; [LA TIERRA RURAL Y SU POTENCIAL DE DESARROLLO INMOBILIARIO]","2024","Revista Iberoamericana de Viticultura Agroindustria y Ruralidad","11","31","","142","157","15","0","10.35588/rivar.v10i31.6187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196884286&doi=10.35588%2frivar.v10i31.6187&partnerID=40&md5=ad1972dc289cfce26317e547ee9fac1b","The research focuses on the problem of rural land valuation, revealing the excessive income that the urbanization of rural land entails compared to the development of productive activity. The study refers to a context of an intermediate city with characteristics of aridity and seismicity, recognized as an ""oasis city"". This is the case in the Metropolitan Area of San Juan, Argentina, where the phenomenon acquires representative qualities due to its intensity and characteristics. The study intends to identify the real estate valuation processes that affect the availability of agro-productive land. This is a descriptive and relational research design, based on a case study, including fieldwork, semi-structured interviews, and a survey of land supply prices. The research produces scientific evidence about the significant increase in the prices of agricultural land that emerges from its real estate development potential. In this way, the study carried out produces scientific evidence about the differential valuation of expanding areas and the selective behavior of investments. © 2024 Institute of Advanced Studies, University of Santiago de Chile. All rights reserved.","agricultural land; land use; land value; oasis; urban planning","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196884286"
"Guerra Araya P.S.","Guerra Araya, Pedro S. (57208509354)","57208509354","Private Property and Capitalism: the Awakening of a Force; [Propiedad privada y capitalismo: el despertar de una fuerza]","2023","Economia y Politica","10","2","","5","35","30","0","10.15691/07194714.2023.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187019341&doi=10.15691%2f07194714.2023.006&partnerID=40&md5=f410c1eca692d445fbaf6d9c16425507","The article seeks to bring a map of ideas about private property as a functional legal archetype to a capitalist system, in which the production and transaction of goods towards their most economical use is only possible to the extent that the goods are assigned exclusively and excluding to a single owner. In this sense, the fundamental lines of the construction of the proprietary system that consolidates liberal modernity are investigated, as a force that reacts to medieval conceptions about the appropriation and use of goods. This route of ideas is drawn upon the map of the evolution of capitalism as a form of social and economic organization, which responds to political and ideological forces that explain the persistence of private property as the only way of relating people and goods. This paradigm can be challenged from new forms of production and exchange, which will lay the foundations for new forms of appropriation. © 2023 Universidad Adolfo Ibanez. All rights reserved.","capitalism; private property economics; Property","","Review","Final","","Scopus","2-s2.0-85187019341"
"Moreno A.S.","Moreno, Antonia Sajardo (41762507200)","41762507200","Cohousing and social economy: analysis of the senior and intergenerational model; [Vivienda colaborativa y Economia Social: análisis del modelo senior e intergeneracional]","2022","Revista del Ministerio de Trabajo y Economia Social","153","","","153","177","24","0","10.55617/revmites.19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196632092&doi=10.55617%2frevmites.19&partnerID=40&md5=ee271f26bcd7028c72e7d70d55feff00","The cohousing model is booming throughout Europe and in Spain, being a housing resource to respond to certain needs and social and economic problems, presenting a special development for the group of older people and families. Problems of oversize, degradation of neighborhoods in large cities and high housing costs, the demographic challenge of increasingly aging societies and loneliness, or the new readings and social approaches marked by sustainability, the value of use versus property, the collaborative economy, active aging, communality, collaborative consumption, open the way to the aspirations and needs of people and groups that propose a refocus on the concept of housing. The Cohousing, based on the participatory organization of its residents on self-promotion and self-management processes, finds in the Social Economy the conceptual framework for its development. And it is that the Social Economy has a relevant track record offering housing solutions through traditional housing cooperatives, but more recently the cooperative formula promotes and legally protects this housing model. This work carries out an analytical journey on the conceptual framework of cohousing and its location in the field of the principles and values of the Social Economy, focusing the study on the senior and intergenerational modalities and the advantages and benefits that it implies for both groups. © 2022 Ministerio de Empleo y Seguridad Social. All rights reserved.","Cohousing; consumer cooperatives; housing cooperatives; intergenerational cohousing; senior cohousing; Social Economy; transfer of use","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85196632092"
"Bedoya E.O.C.","Bedoya, Edinson Orlando Ceballos (57864611300)","57864611300","Livestock, Population and Deforestation of the Caqueteño Amazonian Ecosystems (1951-1980); [Ganadería, Poblamiento y Deforestación de los Ecosistemas Amazónicos Caqueteños (1951-1980)]","2022","Historia Ambiental Latinoamericana y Caribena","12","2","","140","169","29","1","10.32991/2237-2717.2022v12i2.p140-169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136846824&doi=10.32991%2f2237-2717.2022v12i2.p140-169&partnerID=40&md5=a11b8cf6e1a6984182920f891b926277","Throughout the period 1951-1980, the Amazonian ecosystems of Caquet suffered a process of transformation due to deforestation that generated the consolidation of livestock as the predominant economic development model. The above circumstances cause the deforestation of approximately 500,000 thousand hectares of pristine forests used for the sowing of pastures for cattle breeding, fattening and dairy. The article is based on the use of various sources extracted from the government and agriculture funds of the Central Archive of the Government of Caquet, which are analyzed in order to understand the role of state institutions in the consolidation of extensive cattle ranching. makes use of documents from the Parish Archive of Puerto Rico used to describe the formation of an agricultural colonization zone in the northern part of the foothills. In the process of commodification of nature that occurs in Caquet in the period 1951-1980, state institutions and their officials have a great impact, likewise, the economic interests of landowner's associations and ranchers that generate a process of accumulation of land in the area of the caqueteño foothills and induce the expansion of livestock into the jungle plains of Caquet. © 2015 Historia Ambiental Latinoamericana y Caribena. All rights reserved.","Amazon rainforests; Caquet; deforestation; livestock; settlement","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85136846824"
